786 33.7228  2.71 3.83842
787 46.325  2.71143 3.83842
788 33.1394  2.71243 3.83842
789 32.1477  2.71339 3.83842
790 45.7797  2.7148 3.83842
791 35.9408  2.71589 3.83842
792 30.7893  2.71679 3.83842
793 44.9069  2.71816 3.83842
794 38.864  2.71935 3.83842
795 29.7115  2.7202 3.83842
796 43.7859  2.72153 3.83842
797 41.6217  2.72279 3.83842
798 28.9536  2.7236 3.83842
799 42.4699  2.72488 3.83842
800 43.9969  2.7262 3.83842
801 28.563  2.72698 3.83842
802 40.9876  2.72821 3.83842
803 45.8576  2.72958 3.83842
804 28.6302  2.73036 3.83842
805 39.3593  2.73153 3.83842
806 47.1429  2.73292 3.85318
807 29.2878  2.73372 3.85318
808 37.6215  2.73482 3.85318
809 47.8445  2.73623 3.86796
810 30.6547  2.73707 3.86796
811 35.8437  2.73811 3.86796
812 47.9958  2.73951 3.87111
813 32.7463  2.74043 3.87111
814 34.127  2.7414 3.87111
815 47.6648  2.74278 3.87111
816 35.4192  2.74379 3.87111
817 32.5803  2.74469 3.87111
818 46.9414  2.74604 3.87111
819 38.4002  2.74714 3.87111
820 31.2902  2.74799 3.87111
821 45.917  2.74931 3.87111
822 41.3753  2.75049 3.87111
823 30.3092  2.75129 3.87111
824 44.6634  2.75257 3.87111
825 44.0736  2.75382 3.87111
826 29.676  2.75459 3.87111
827 43.224  2.75581 3.87111
828 46.3087  2.75712 3.87111
